element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,1,"=""638.4717""","=""0.0010""","=""638.4717""","=""0.0010""","=""20""","=""4.21e+05""",C,"=""104102.0990""","=""119760.1725""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""L2634""",
Ar,2,"=""638.8341""","=""0.0003""","=""638.83417""","=""0.00009""","=""5""","=""""",,"=""196076.4715""","=""211725.660""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""","=""3s2.3p4.(3P<1>).6g""","=""2[3]""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""639.1117""","=""0.0008""","=""639.11273""","=""0.00008""","=""2""","=""""",,"=""196119.1021""","=""211761.470""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<1>).6g""","=""2[4]""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""639.3802""","=""0.0006""","=""639.38006""","=""0.00006""","=""7bl""","=""""",,"=""196089.9385""","=""211725.7661""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""5/2""","=""3s2.3p4.(3P<1>).6g""","=""2[3]""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""639.4729""","=""0.0003""","=""639.47298""","=""0.00009""","=""7""","=""""",,"=""194996.5613""","=""210630.117""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""3/2""","=""3s2.3p4.(3P<2>).6g""","=""2[3]""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""639.66084""","=""0.00016""","=""639.66112""","=""0.00005""","=""11""","=""""",,"=""196103.4029""","=""211732.3605""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""9/2""","=""3s2.3p4.(3P<1>).6g""","=""2[5]""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""639.7184""","=""0.0008""","=""639.71951""","=""0.00008""","=""2""","=""""",,"=""195031.2028""","=""210658.7338""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""","=""3s2.3p4.(3P<2>).6g""","=""2[2]""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""639.92085""","=""0.00008""","=""639.920633""","=""0.000017""","=""18""","=""6.e+05""",C,"=""143107.6801""","=""158730.2995""","=""3s2.3p4.(3P).3d""","=""4F""","=""5/2""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""",,"=""T926""","=""L11520""",
Ar,2,"=""640.30123""","=""0.00015""","=""640.30137""","=""0.00004""","=""11""","=""""",,"=""196119.1021""","=""211732.4320""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<1>).6g""","=""2[5]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""640.8909""","=""0.0004""","=""640.89048""","=""0.00017""","=""7""","=""""",,"=""195031.2028""","=""210630.181""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""5/2""","=""3s2.3p4.(3P<2>).6g""","=""2[3]""","=""7/2""",,"=""""","=""L11520""",
