obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""91.0918""","=""91.0918427+""","=""25""","=""""",,"=""0.0000""","=""109779.3140""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""91.1670""","=""91.1670474+""","=""24""","=""""",,"=""0.0000""","=""109688.7558""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""91.4554""","=""91.4553815+""","=""0""","=""""",,"=""0.0000""","=""109342.9368""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""92.2738""","=""92.2738698+""","=""23""","=""5.30e+07""",C,"=""0.0000""","=""108373.0423""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""92.3712""","=""92.3712819+""","=""25""","=""1.14e+08""",C,"=""0.0000""","=""108258.7553""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""92.8710""","=""92.8710778+""","=""13""","=""3.87e+06""",C,"=""0.0000""","=""107676.1489""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""94.5441""","=""94.5441400+""","=""37""","=""2.81e+08""",C,"=""0.0000""","=""105770.7014""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""94.6536""","=""94.653556+""","=""34""","=""1.51e+08""",C,"=""0.0000""","=""105648.434""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""95.1055""","=""95.10555+""","=""21""","=""2.58e+07""",C,"=""0.0000""","=""105146.33""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""95.3403""","=""95.340414+""","=""25""","=""1.06e+08""",C,"=""0.0000""","=""104887.315""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""96.3374500""","=""96.3374497+""","=""19""","=""3.35e+07""",C,"=""0.0000""","=""103801.7929""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T7227""","=""L11903""",
"=""100.1060639""","=""100.1060639+""","=""44""","=""3.42e+08""",C,"=""0.0000""","=""99894.0485""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",,"=""T7227""","=""L11903""",
"=""100.3550""","=""100.355044+""","=""31""","=""1.82e+08""",C,"=""0.0000""","=""99646.212""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""103.0022""","=""103.002319+""","=""12""","=""1.11e+07""",C+,"=""0.0000""","=""97085.193""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""116.4867""","=""116.4867079+""","=""71""","=""3.09e+08""",A+,"=""0.0000""","=""85846.7046""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""123.5838""","=""123.583779+""","=""100""","=""2.98e+08""",A+,"=""0.0000""","=""80916.7680""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""T7227""","=""L4676""",
"=""""","=""125.044169+""","=""""","=""3.54e-02""",B+,"=""0.0000""","=""79971.7417""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",M2,"=""T2190""","=""""",
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""318.295""","=""318.29252+""","=""2""","=""""",,"=""79971.7417""","=""111380.299""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""""","=""L3988""",
"=""318.453""","=""318.463+""","=""1""","=""""",,"=""79971.7417""","=""111363.5""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).11p""","=""2[3/2]""","=""2""",,"=""""","=""L7408""",
"=""318.601""","=""318.611+""","=""1*""","=""""",,"=""79971.7417""","=""111348.9""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).11p""","=""2[5/2]""","=""3""",,"=""""","=""L7408""",
