obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""83.366""","=""0.007""","=""83.366""","=""0.007""","=""20h,s""","=""""",,"=""0.0000000""","=""14.8723""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).7p""","=""2[1/2]*""","=""1""",,"=""""","=""L15166c86""",
"=""83.8422""","=""0.0009""","=""83.8422""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.78781""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).20p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""83.8870""","=""0.0009""","=""83.8870""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.77991""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).19p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""83.9371""","=""0.0009""","=""83.9371""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.77108""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).18p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.0071""","=""0.0009""","=""84.0071""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.75878""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).17p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.0827""","=""0.0025""","=""84.082""","=""0.003""","=""a*""","=""""",,"=""0.0000000""","=""14.7456""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).13f""","=""2[1/2]*""","=""1""",,"=""""","=""L2725""",
"=""84.0827""","=""0.0025""","=""84.083""","=""0.003""","=""a*""","=""""",,"=""0.0000000""","=""14.7455""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).13f""","=""2[3/2]*""","=""1""",,"=""""","=""L2725""",
"=""84.0960""","=""0.0009""","=""84.0960""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.74317""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).16p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.1877""","=""0.0009""","=""84.1871""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.72723""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).12f""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""84.1877""","=""0.0009""","=""84.1879""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.72708""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).12f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.1922""","=""0.0009""","=""84.1922""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.72632""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).15p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.3238""","=""0.0009""","=""84.3229""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.70350""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).11f""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""84.3238""","=""0.0009""","=""84.3241""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.70330""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).11f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.3339""","=""0.0009""","=""84.3339""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.70159""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).14p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.5059""","=""0.0009""","=""84.5048""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.67186""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).10f""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""84.5059""","=""0.0009""","=""84.5063""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.67160""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).10f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.5225""","=""0.0009""","=""84.5225""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.66878""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).13p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.7692""","=""0.0009""","=""84.7676""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.62637""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).9f""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""84.7692""","=""0.0009""","=""84.7698""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.62599""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).9f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""84.7962""","=""0.0009""","=""84.7962""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.62143""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).12p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""85.1527""","=""0.0009""","=""85.1504""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.56062""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).8f""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""85.1527""","=""0.0009""","=""85.1536""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.56007""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).8f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""85.1993""","=""0.0009""","=""85.1993""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.55226""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).11p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""85.7537""","=""0.0009""","=""85.7502""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.45876""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).7f""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""85.7537""","=""0.0009""","=""85.7551""","=""0.0009""","=""a*""","=""""",,"=""0.0000000""","=""14.45795""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).7f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""85.8341""","=""0.0009""","=""85.8341""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.44463""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).10p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""86.7724""","=""0.0009""","=""86.7729""","=""0.0008""","=""a""","=""""",,"=""0.0000000""","=""14.28836""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).6f""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""86.7852""","=""0.0025""","=""86.7815""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""14.28693""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).6f""","=""2[3/2]*""","=""1""",,"=""""","=""L2725""",
"=""86.925""","=""0.005""","=""86.925""","=""0.005""","=""a""","=""""",,"=""0.0000000""","=""14.2634""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).9p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""88.7127""","=""0.0025""","=""88.7126""","=""0.0016""","=""a""","=""""",,"=""0.0000000""","=""13.97593""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).5f""","=""2[1/2]*""","=""1""",,"=""""","=""L2725""",
"=""88.7301""","=""0.0025""","=""88.7301""","=""0.0016""","=""a""","=""""",,"=""0.0000000""","=""13.97318""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).5f""","=""2[3/2]*""","=""1""",,"=""""","=""L2725""",
"=""89.069""","=""0.007""","=""89.069""","=""0.007""","=""10h""","=""""",,"=""0.0000000""","=""13.9201""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).8p""","=""2[3/2]*""","=""1""",,"=""""","=""L15166c86""",
"=""94.445""","=""0.007""","=""94.445""","=""0.007""","=""20H""","=""""",,"=""0.0000000""","=""13.1277""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).7p""","=""2[3/2]*""","=""1""",,"=""""","=""L15166c86""",
"=""106.680""","=""0.007""","=""106.6821""","=""0.0003""","=""8""","=""""",,"=""0.0000000""","=""11.62183""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).6p""","=""2[3/2]*""","=""1""",,"=""""","=""L15166c86""",
"=""112.660""","=""0.010""","=""112.6639""","=""0.0003""","=""100H,s""","=""""",,"=""0.0000000""","=""11.00479""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).6p""","=""2[1/2]*""","=""1""",,"=""""","=""L15166c86""",
"=""119.3977""","=""0.0003""","=""119.39757""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.384148""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.20p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""119.4113""","=""0.0003""","=""119.41121""","=""0.00009""","=""a""","=""""",,"=""0.0000000""","=""10.382961""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.20p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""119.4824""","=""0.0003""","=""119.48225""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.376788""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.19p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""119.4990""","=""0.0003""","=""119.49893""","=""0.00009""","=""a""","=""""",,"=""0.0000000""","=""10.375340""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.19p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""119.5859""","=""0.0003""","=""119.58591""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.367793""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.18p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""119.6068""","=""0.0003""","=""119.60671""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.365990""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.18p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""119.7147""","=""0.0003""","=""119.71461""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.356647""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.17p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""119.7409""","=""0.0003""","=""119.74078""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.354384""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.17p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""119.8772""","=""0.0003""","=""119.87734""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.342588""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.16p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""119.9109""","=""0.0003""","=""119.91079""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.339703""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.16p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""120.0867""","=""0.0003""","=""120.08663""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.324563""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.15p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""120.1311""","=""0.0003""","=""120.13101""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.320748""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.15p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""120.3634""","=""0.0003""","=""120.36312""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.300846""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.14p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""120.4234""","=""0.0003""","=""120.42327""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.295701""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.14p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""120.7384""","=""0.0003""","=""120.738219""","=""0.000022""","=""a""","=""""",,"=""0.0000000""","=""10.2688444""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.13p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""120.8232""","=""0.0003""","=""120.82304""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.261635""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.13p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""121.2656""","=""0.0003""","=""121.265150""","=""0.000022""","=""a""","=""""",,"=""0.0000000""","=""10.2242234""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.12p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""121.3914""","=""0.0003""","=""121.39107""","=""0.00007""","=""a""","=""""",,"=""0.0000000""","=""10.213617""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.12p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""122.0376""","=""0.0003""","=""122.037065""","=""0.000021""","=""a""","=""""",,"=""0.0000000""","=""10.1595526""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.11p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""122.2379""","=""0.0003""","=""122.23751""","=""0.00003""","=""a""","=""""",,"=""0.0000000""","=""10.1428931""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.11p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""123.2237""","=""0.0003""","=""123.223297""","=""0.000020""","=""a""","=""""",,"=""0.0000000""","=""10.0617498""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.10p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""123.5845""","=""0.0003""","=""123.58411""","=""0.00003""","=""a""","=""""",,"=""0.0000000""","=""10.0323737""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.10p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""125.0567""","=""0.0003""","=""125.05651""","=""0.00020""","=""200""","=""""",,"=""0.0000000""","=""9.914254""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.9p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""125.9245""","=""0.0003""","=""125.92458""","=""0.00003""","=""11""","=""""",,"=""0.0000000""","=""9.8459094""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.9p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""126.882""","=""0.003""","=""126.8826""","=""0.0003""","=""300""","=""""",,"=""0.0000000""","=""9.771569""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""1""",,"=""""","=""L15165""",
"=""130.1007""","=""0.0003""","=""130.101377""","=""0.000017""","=""a""","=""""",,"=""0.0000000""","=""9.5298144""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.8p""","=""1P*""","=""1""",,"=""""","=""L13012""",
"=""130.7749""","=""0.0003""","=""130.775477""","=""0.000021""","=""6""","=""""",,"=""0.0000000""","=""9.4806918""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.8p""","=""3P*""","=""1""",,"=""""","=""L13012""",
"=""140.270""","=""0.003""","=""140.26257""","=""0.00004""","=""30""","=""""",,"=""0.0000000""","=""8.839436""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.7p""","=""1P*""","=""1""",,"=""""","=""L15165""",
"=""143.553""","=""0.003""","=""143.55069""","=""0.00004""","=""14""","=""""",,"=""0.0000000""","=""8.6369628""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.7p""","=""3P*""","=""1""",,"=""""","=""L15165""",
"=""172.8""","=""0.3""","=""172.7187""","=""0.0006""","=""""","=""""",,"=""4.8864946""","=""12.064883""","=""5d10.6s.6p""","=""3P*""","=""1""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""",,"=""""","=""L1310""",
"=""176.2""","=""0.3""","=""176.13""","=""0.19""","=""""","=""""",,"=""4.8864946""","=""11.926""","=""5d10.6s.6p""","=""3P*""","=""1""","=""5d10.6p2""","=""3P""","=""2""",,"=""""","=""L1310""",
"=""177.520""","=""0.010""","=""177.5095""","=""0.0006""","=""2""","=""""",,"=""4.6673829""","=""11.65203""","=""5d10.6s.6p""","=""3P*""","=""0""","=""5d10.6p2""","=""3P""","=""1""",,"=""""","=""L598c86""",
"=""183.257""","=""0.002""","=""183.2584""","=""0.0007""","=""6""","=""""",,"=""4.8864946""","=""11.65203""","=""5d10.6s.6p""","=""3P*""","=""1""","=""5d10.6p2""","=""3P""","=""1""",,"=""""","=""L7431""",
"=""184.94994""","=""0.00002""","=""184.949946""","=""0.000017""","=""5000r""","=""7.46e+08""",A,"=""0.0000000""","=""6.7036623""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.6p""","=""1P*""","=""1""",,"=""T7227""","=""L3456""",
"=""187.7""","=""0.3""","=""187.7337""","=""0.0007""","=""""","=""""",,"=""5.4606248""","=""12.064883""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""2""",,"=""""","=""L1310""",
"=""188.5""","=""0.3""","=""188.4754""","=""0.0006""","=""""","=""""",,"=""5.4606248""","=""12.03889""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d9.6s2.(2D<5/2>).7s""","=""2[5/2]""","=""3""",,"=""""","=""L1310""",
"=""191.7""","=""0.3""","=""191.77""","=""0.22""","=""""","=""""",,"=""5.4606248""","=""11.926""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6p2""","=""3P""","=""2""",,"=""""","=""L1310""",
"=""197.287""","=""0.002""","=""197.2878""","=""0.0008""","=""""","=""""",,"=""4.8864946""","=""11.170927""","=""5d10.6s.6p""","=""3P*""","=""1""","=""5d10.6p2""","=""3P""","=""0""",,"=""""","=""L10473""",
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""200.191""","=""0.002""","=""200.1871""","=""0.0008""","=""2d""","=""""",,"=""5.4606248""","=""11.65203""","=""5d10.6s.6p""","=""3P*""","=""2""","=""5d10.6p2""","=""3P""","=""1""",,"=""""","=""L15189c86""",
