obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""57.60684""","=""0.00006""","=""57.60684""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173590.50""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).18d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.61032""","=""0.00006""","=""57.61032""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173580.01""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).19s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.62048""","=""0.00006""","=""57.62048""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173549.40""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).17d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.62255""","=""0.00006""","=""57.62255""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173543.17""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).11s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.62481""","=""0.00006""","=""57.62481""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173536.36""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).18s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.63685""","=""0.00006""","=""57.63685""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173500.11""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).16d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.64184""","=""0.00006""","=""57.64184""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173485.09""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).17s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.65645""","=""0.00006""","=""57.65645""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173441.13""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).15d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.65658""","=""0.00006""","=""57.65658""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173440.74""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).15d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.66262""","=""0.00006""","=""57.66262""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173422.57""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).16s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.68048""","=""0.00006""","=""57.68048""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173368.88""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).14d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.68083""","=""0.00006""","=""57.68083""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173367.82""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).14d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.68643""","=""0.00006""","=""57.68650""","=""0.00003""","=""a""","=""""",,"=""0.0000""","=""173350.78""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.68816""","=""0.00006""","=""57.68816""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173345.80""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).15s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.71034""","=""0.00006""","=""57.71034""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173279.17""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).13d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.71080""","=""0.00006""","=""57.71087""","=""0.00005""","=""a""","=""""",,"=""0.0000""","=""173277.59""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).13d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
