obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""91.9349""","=""0.0020""","=""91.93513419""","=""0.00000003""","=""""","=""3.1597e+06""",AAA,"=""0.0000000000""","=""[108772.34355]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",,"=""T7771""","=""L8445""",
"=""91.9349""","=""0.0020""","=""91.93513605""","=""0.00000003""","=""""","=""3.1597e+06""",AAA,"=""0.0000000000""","=""[108772.34135]""","=""1s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",,"=""T7771""","=""L8445""",
"=""91.935133578""","=""0.000000020""","=""91.935133577""","=""0.000000019""","=""""","=""""",,"=""0.0000000000""","=""[108772.344270]""","=""1s""","=""2S""","=""1/2""","=""11d""","=""2D""","=""5/2""",E2,"=""""","=""L15291c37""",
"=""91.93513586""","=""0.00000003""","=""91.93513586""","=""0.00000003""","=""""","=""""",,"=""0.0000000000""","=""[108772.34157]""","=""1s""","=""2S""","=""1/2""","=""11s""","=""2S""","=""1/2""",M1,"=""""","=""L15291c36""",
"=""92.0947""","=""0.0014""","=""92.0963006""","=""0.0000007""","=""7400""","=""1.2631e+05""",AAA,"=""0.0000000000""","=""108581.9945""","=""1s""","=""2S""","=""1/2""","=""10""","=""""","=""""",,"=""T8637""","=""L8834""",
"=""92.09630369""","=""0.00000003""","=""92.09630369""","=""0.00000003""","=""""","=""""",,"=""0.0000000000""","=""[108581.99080]""","=""1s""","=""2S""","=""1/2""","=""10s""","=""2S""","=""1/2""",M1,"=""""","=""L15291c36""",
"=""92.0970""","=""0.0020""","=""92.09630145""","=""0.00000003""","=""""","=""4.2105e+06""",AAA,"=""0.0000000000""","=""[108581.99344]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",,"=""T7771""","=""L8445""",
"=""92.0970""","=""0.0020""","=""92.09630394""","=""0.00000003""","=""""","=""4.2104e+06""",AAA,"=""0.0000000000""","=""[108581.99051]""","=""1s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",,"=""T7771""","=""L8445""",
"=""92.3148""","=""0.0014""","=""92.3150275""","=""0.0000009""","=""12000""","=""2.1425e+05""",AAA,"=""0.0000000000""","=""108324.7253""","=""1s""","=""2S""","=""1/2""","=""9""","=""""","=""""",,"=""T8637""","=""L8834""",
"=""92.315027375""","=""0.000000020""","=""92.315027375""","=""0.000000017""","=""""","=""""",,"=""0.0000000000""","=""[108324.725501]""","=""1s""","=""2S""","=""1/2""","=""9d""","=""2D""","=""5/2""",E2,"=""""","=""L15291c37""",
