obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""361.05077""","=""361.0508""","=""1000""","=""1.3e+08""",D,"=""31826.952""","=""59515.990""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""3""",,"=""T4515""","=""L3486""",
"=""361.28729""","=""361.28724""","=""800""","=""3.5e+07""",D,"=""31826.952""","=""59497.868""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""2""",,"=""T4515""","=""L3486""",
"=""361.44529""","=""361.44529""","=""60""","=""""",,"=""31826.952""","=""59485.768""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""364.95584""","=""364.95568""","=""20""","=""""",,"=""31826.952""","=""59219.734""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.5d""","=""1D""","=""2""",,"=""""","=""L3486""",
"=""398.19257""","=""398.19257""","=""10""","=""""",,"=""43692.384""","=""68798.760""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.9s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""414.02988""","=""414.03021""","=""""","=""4.7e+06""",D,"=""43692.384""","=""67838.401""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.7d""","=""1D""","=""2""",,"=""T4515""","=""L3486c92""",
"=""430.66718""","=""430.66718""","=""8""","=""""",,"=""43692.384""","=""66905.641""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.8s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""441.29894""","=""441.29894""","=""3""","=""""",,"=""30656.087""","=""53310.101""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.6s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""466.23520""","=""466.23520""","=""8""","=""5.5e+06""",C,"=""43692.384""","=""65134.783""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.6d""","=""1D""","=""2""",,"=""T4515""","=""L3486""",
"=""467.81493""","=""467.81500""","=""200""","=""1.3e+07""",C,"=""30113.990""","=""51483.980""","=""4d10.5s.5p""","=""3P*""","=""0""","=""4d10.5s.6s""","=""3S""","=""1""",,"=""T4515""","=""L3486""",
"=""479.99123""","=""479.99121""","=""300""","=""4.1e+07""",C,"=""30656.087""","=""51483.980""","=""4d10.5s.5p""","=""3P*""","=""1""","=""4d10.5s.6s""","=""3S""","=""1""",,"=""T4515""","=""L3486""",
"=""508.58217""","=""508.58214""","=""1000w""","=""5.6e+07""",C,"=""31826.952""","=""51483.980""","=""4d10.5s.5p""","=""3P*""","=""2""","=""4d10.5s.6s""","=""3S""","=""1""",,"=""T4515""","=""L3486""",
"=""515.46605""","=""515.46618""","=""6""","=""""",,"=""43692.384""","=""63086.896""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.7s""","=""1S""","=""0""",,"=""""","=""L3486""",
"=""609.91421""","=""609.9142""","=""300""","=""""",,"=""51483.980""","=""67875.191""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.8p""","=""3P*""","=""2""",,"=""""","=""L3486""",
"=""611.1495""","=""611.1495""","=""100""","=""""",,"=""51483.980""","=""67842.06""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.8p""","=""3P*""","=""1""",,"=""""","=""L3486""",
"=""632.51661""","=""632.51689""","=""100""","=""""",,"=""43692.384""","=""59497.868""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""2""",,"=""""","=""L3486""",
"=""633.00133""","=""633.00149""","=""30""","=""""",,"=""43692.384""","=""59485.768""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""3D""","=""1""",,"=""""","=""L3486""",
"=""643.84695""","=""643.84695""","=""2000""","=""5.9e+07""",C,"=""43692.384""","=""59219.734""","=""4d10.5s.5p""","=""1P*""","=""1""","=""4d10.5s.5d""","=""1D""","=""2""",,"=""T4515""","=""L3486""",
"=""677.81157""","=""677.8116""","=""30""","=""""",,"=""53310.101""","=""68059.393""","=""4d10.5s.6s""","=""1S""","=""0""","=""4d10.5s.8p""","=""1P*""","=""1""",,"=""""","=""L3486""",
"=""734.56704""","=""734.5665""","=""1000""","=""""",,"=""51483.980""","=""65093.702""","=""4d10.5s.6s""","=""3S""","=""1""","=""4d10.5s.7p""","=""3P*""","=""2""",,"=""""","=""L3486""",
"=""820.03089""","=""820.0309""","=""5""","=""""",,"=""53310.101""","=""65501.412""","=""4d10.5s.6s""","=""1S""","=""0""","=""4d10.5s.7p""","=""1P*""","=""1""",,"=""""","=""L3486""",
"=""929.2""","=""928.52""","=""20*""","=""""",,"=""58635.7""","=""69402.583""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""2""",,"=""""","=""L7381""",
"=""929.2""","=""928.30""","=""20*""","=""""",,"=""58635.7""","=""69405.160""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""3""",,"=""""","=""L7381""",
"=""929.2""","=""928.66""","=""20*""","=""""",,"=""58635.7""","=""69400.900""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.8d""","=""3D""","=""1""",,"=""""","=""L7381""",
"=""1165.5""","=""1165.5""","=""17""","=""""",,"=""59515.990""","=""68093.7""","=""4d10.5s.5d""","=""3D""","=""3""","=""4d10.5s.5f""","=""3F*""","=""2,3,4""",,"=""""","=""L7381""",
"=""1449.1""","=""1449.5""","=""35""","=""""",,"=""58461.6""","=""65358.881""","=""4d10.5s.6p""","=""3P*""","=""1""","=""4d10.5s.6d""","=""3D""","=""2""",,"=""""","=""L7381""",
"=""1571.2""","=""1570.35""","=""80""","=""""",,"=""59219.734""","=""65586.0""","=""4d10.5s.5d""","=""1D""","=""2""","=""4d10.5s.4f""","=""3F*""","=""2,3,4""",,"=""""","=""L7381""",
"=""1912.5""","=""1912.44""","=""55""","=""""",,"=""59907.28""","=""65134.783""","=""4d10.5s.6p""","=""1P*""","=""1""","=""4d10.5s.6d""","=""1D""","=""2""",,"=""""","=""L7381""",
obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2438.5""","=""2437.9""","=""25""","=""""",,"=""58461.6""","=""62563.435""","=""4d10.5s.6p""","=""3P*""","=""1""","=""4d10.5s.7s""","=""3S""","=""1""",,"=""""","=""L7381""",
"=""2546.2""","=""2546.0""","=""35""","=""""",,"=""58635.7""","=""62563.435""","=""4d10.5s.6p""","=""3P*""","=""2""","=""4d10.5s.7s""","=""3S""","=""1""",,"=""""","=""L7381""",
