obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""26.8710""","=""0.0010""","=""26.8710""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.1405""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).11d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8860""","=""0.0010""","=""26.8860""","=""0.0011""","=""a*""","=""""",,"=""0.000000000""","=""46.1148""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).8s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8860""","=""0.0010""","=""26.8860""","=""0.0011""","=""a*""","=""""",,"=""0.000000000""","=""46.1148""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8860""","=""0.0010""","=""26.8860""","=""0.0011""","=""a*""","=""""",,"=""0.000000000""","=""46.1148""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).10d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8940""","=""0.0010""","=""26.8940""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.1010""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9060""","=""0.0010""","=""26.9060""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.0805""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9130""","=""0.0010""","=""26.9130""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.0686""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9140""","=""0.0010""","=""26.9140""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.0668""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9200""","=""0.0010""","=""26.9200""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.0565""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9220""","=""0.0010""","=""26.9220""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.0531""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).6d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9370""","=""0.0010""","=""26.9370""","=""0.0011""","=""a*""","=""""",,"=""0.000000000""","=""46.0275""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9370""","=""0.0010""","=""26.9370""","=""0.0011""","=""a*""","=""""",,"=""0.000000000""","=""46.0275""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9530""","=""0.0010""","=""26.9530""","=""0.0011""","=""a*""","=""""",,"=""0.000000000""","=""46.0001""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9530""","=""0.0010""","=""26.9530""","=""0.0011""","=""a*""","=""""",,"=""0.000000000""","=""46.0001""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).9s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9610""","=""0.0010""","=""26.9610""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.9865""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9670""","=""0.0010""","=""26.9670""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.9763""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).7s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9800""","=""0.0010""","=""26.9800""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.9541""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).10s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""26.9810""","=""0.0010""","=""26.9810""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.9524""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.9880""","=""0.0010""","=""26.9880""","=""0.0011""","=""bl,a""","=""""",,"=""0.000000000""","=""45.9405""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).9s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.0060""","=""0.0010""","=""27.0060""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.9099""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).8s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.0120""","=""0.0010""","=""27.0120""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.8997""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).6d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.0170""","=""0.0010""","=""27.0170""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.8911""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).9s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.0200""","=""0.0010""","=""27.0200""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.8861""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).6d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.0276""","=""0.0008""","=""27.0276""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.8732""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).5d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.0530""","=""0.0010""","=""27.0530""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.8301""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).6d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.0670""","=""0.0010""","=""27.0670""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.8065""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).8s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.0760""","=""0.0010""","=""27.0760""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.7912""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).8s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.0980""","=""0.0010""","=""27.0980""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.7540""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).7s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.1040""","=""0.0010""","=""27.1040""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""45.7438""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).6s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.1190""","=""0.0010""","=""27.1190""","=""0.0011""","=""a*""","=""""",,"=""0.000000000""","=""45.7186""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).5d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.1190""","=""0.0010""","=""27.1190""","=""0.0011""","=""a*""","=""""",,"=""0.000000000""","=""45.7186""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).5d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.1527""","=""0.0008""","=""27.1527""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""45.6618""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).7s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.1773""","=""0.0008""","=""27.1773""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""45.6205""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).5d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.2180""","=""0.0008""","=""27.2180""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""45.5523""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).4d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.2320""","=""0.0010""","=""27.2320""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""45.5289""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).7s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.2530""","=""0.0010""","=""27.2530""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""45.4938""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).6s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.2907""","=""0.0008""","=""27.2907""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""45.4309""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).4d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.3070""","=""0.0010""","=""27.3071""","=""0.0010""","=""a*""","=""""",,"=""0.000000000""","=""45.4036""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).6s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.3070""","=""0.0010""","=""27.3070""","=""0.0010""","=""a*""","=""""",,"=""0.000000000""","=""45.4038""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).4d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.3980""","=""0.0010""","=""27.3980""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""45.2530""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).5s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.4148""","=""0.0008""","=""27.4148""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""45.2252""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3F*<2>).4d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.5590""","=""0.0010""","=""27.5590""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""44.9887""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).6s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.6090""","=""0.0010""","=""27.6090""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""44.9072""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(1P*<1>).5s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.6205""","=""0.0008""","=""27.6205""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""44.8885""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3P*<2>).5s""","=""2[2]*""","=""3/2""",,"=""""","=""L12868""",
"=""27.6688""","=""0.0008""","=""27.6688""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""44.8101""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).3d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""27.6912""","=""0.0008""","=""27.6912""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""44.7739""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).3d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
